GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2011 inflation-adjusted dollars)
8600000US31011,31011,ZCTA5 31011,31667,17922
8600000US31012,31012,ZCTA5 31012,40400,16729
8600000US31014,31014,ZCTA5 31014,35652,4666
8600000US31015,31015,ZCTA5 31015,33122,3627
8600000US31016,31016,ZCTA5 31016,38750,19895
8600000US31017,31017,ZCTA5 31017,43315,9014
8600000US31018,31018,ZCTA5 31018,47109,8711
8600000US31019,31019,ZCTA5 31019,46488,10006
8600000US31020,31020,ZCTA5 31020,27230,3964
8600000US31021,31021,ZCTA5 31021,38245,3301
8600000US31022,31022,ZCTA5 31022,46897,12057
8600000US31023,31023,ZCTA5 31023,32301,4030
8600000US31024,31024,ZCTA5 31024,41763,4272
8600000US31025,31025,ZCTA5 31025,76705,31237
8600000US31027,31027,ZCTA5 31027,33863,2845
8600000US31028,31028,ZCTA5 31028,61387,8507
8600000US31029,31029,ZCTA5 31029,40530,5540
8600000US31030,31030,ZCTA5 31030,35131,3283
8600000US31031,31031,ZCTA5 31031,43869,8087
8600000US31032,31032,ZCTA5 31032,54245,4538
8600000US31033,31033,ZCTA5 31033,35917,12214
8600000US31035,31035,ZCTA5 31035,39792,12237
8600000US31036,31036,ZCTA5 31036,38025,10304
8600000US31037,31037,ZCTA5 31037,24446,5650
8600000US31038,31038,ZCTA5 31038,57337,17710
8600000US31039,31039,ZCTA5 31039,-,**
8600000US31041,31041,ZCTA5 31041,19861,23157
8600000US31042,31042,ZCTA5 31042,26814,4445
8600000US31044,31044,ZCTA5 31044,25313,8343
8600000US31045,31045,ZCTA5 31045,36250,58924
8600000US31046,31046,ZCTA5 31046,76338,11680
8600000US31047,31047,ZCTA5 31047,82500,8002
8600000US31049,31049,ZCTA5 31049,35115,6618
8600000US31050,31050,ZCTA5 31050,52870,12841
8600000US31051,31051,ZCTA5 31051,9728,30201
8600000US31052,31052,ZCTA5 31052,59703,9066
8600000US31054,31054,ZCTA5 31054,35147,2437
8600000US31055,31055,ZCTA5 31055,25761,6474
8600000US31057,31057,ZCTA5 31057,34675,8046
